Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Autonomia Máxima,Registo(s),Livro de Revisões completo,Inspecção válida até,IUC,Consumo Combinado,Sub-modelo,Filtro de partículas,Autonomia,Consumo,Garantia de Fábrica até,ou até,IVA Discriminado,Capacidade da bateria,Bateria,Clássico,Gancho de Reboque,Tempo de carregamento,Site,Portugal,Data
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,82 000 km,1 242 cm3,69 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,3,4,,36 Meses,Nacional,Sim,Sim,Usados,12 950        EUR,8088744356,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PpxUE.html,5,Tracção dianteira,102 g/km,"5,90 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,Fiesta,1.1 Ti-VCT Titanium,Gasolina,Fevereiro,2019,55 000 km,1 084 cm3,85 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,Classe 1,36 Meses,Nacional,Sim,Sim,Usados,14 950        EUR,8088746153,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-1-ti-vct-titanium-ID8PpynD.html,,Tracção dianteira,,"6,40 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,81 000 km,1 242 cm3,69 cv,,Sim,Sim,Citadino,Azul,Metalizado,Manual,3,4,,36 Meses,Nacional,,Sim,Usados,12 950        EUR,8088744251,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PpxSX.html,5,Tracção dianteira,102 g/km,"5,90 l/100km",,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Volvo,V50,1.6 D Drive Business Ed. Pro Start/Stop,Diesel,Junho,2011,115 622 km,1 560 cm3,115 cv,,,,Carrinha,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,11 950        EUR,8090710246,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v50-1-6-d-drive-business-ed-pro-start-stop-ID8PxNky.html,6,Tracção dianteira,99 g/km,"4,30 l/100km","3,50 l/100km",,,,,155 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Volvo,V40,1.6 D2 Kinetic Eco,Diesel,Janeiro,2014,193 500 km,1 560 cm3,115 cv,Sim,,,Utilitário,Branco,,Manual,5,5,,18 Meses,Nacional,,,Usados,13 490        EUR,8089994843,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-1-6-d2-kinetic-eco-ID8PuNdN.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Julho,2018,113 000 km,1 248 cm3,95 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,10 900        EUR,8090699901,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8PxKDH.html,5,Tracção dianteira,,,,,1,,,,,,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Astra,1.6 CDTI Innovation S/S,Diesel,Outubro,2015,101 500 km,1 598 cm3,110 cv,Sim,,,Utilitário,Vermelho,,Manual,5,5,,18 Meses,Nacional,,,Usados,13 990        EUR,8090292764,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-innovation-s-s-ID8Pv2IY.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C4 Picasso,PureTech 130 Stop&Start Seduction,Gasolina,Dezembro,2015,130 000 km,1 199 cm3,130 cv,Sim,Sim,Sim,Monovolume,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,11 000        EUR,8090103050,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-picasso-puretech-130-stop-start-seduction-ID8Pwfn4.html,6,Tracção dianteira,,"6,10 l/100km",,,1,,14/12/2023,120 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,3008,1.6 BlueHDi Style,Diesel,Maio,2016,131 000 km,1 560 cm3,120 cv,,,Sim,SUV / TT,Cinzento,Metalizado,Manual,5,5,,18 Meses,Importado,Sim,Sim,Usados,13 990        EUR,8090731380,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-bluehdi-style-ID8PxSPq.html,,,,"4,60 l/100km",,,,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,MINI,Cooper,,Diesel,Janeiro,2010,196 000 km,1 598 cm3,112 cv,,,,Citadino,Castanho,Metalizado,Manual,3,4,Classe 1,,Importado,,,Usados,10 000        EUR,8090659641,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-ID8PxAal.html,6,Tracção dianteira,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Setembro,2019,38 600 km,998 cm3,72 cv,Sim,Sim,,Citadino,Vermelho,,Manual,5,4,,18 Meses,Importado,,,Usados,12 950        EUR,8090126429,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8Pwls9.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Twingo,,Gasolina,Janeiro,2018,31 000 km,898 cm3,90 cv,Sim,Sim,,Citadino,Vermelho,,Manual,5,4,,18 Meses,Importado,,,Usados,13 250        EUR,8090586210,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8Pxh3Y.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,108,1.0 VTi Style,Gasolina,Maio,2020,42 000 km,998 cm3,72 cv,Sim,Sim,,Citadino,Branco,,Manual,5,,,18 Meses,Nacional,,,Usados,12 950        EUR,8090410854,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-style-ID8PvxrE.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Polo,1.0 Trendline,Gasolina,Junho,2016,144 000 km,999 cm3,75 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,,18 Meses,,Sim,,Usados,11 500        EUR,8090102776,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-trendline-ID8PwfiE.html,,,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForFour,,Gasolina,Agosto,2017,85 000 km,999 cm3,70 cv,Sim,Sim,Sim,Citadino,Preto,,Manual,5,4,Classe 1,18 Meses,Importado,,,Usados,12 500        EUR,8088210151,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-ID8PniVr.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Corsa,1.3 CDTi Dynamic,Diesel,Julho,2018,64 000 km,1 248 cm3,95 cv,Sim,,,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 980        EUR,8089945082,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-dynamic-ID8PuAhc.html,5,Tracção dianteira,93 g/km,"3,80 l/100km","3,10 l/100km",900 km,1,Sim,,103 €,,,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Grande Punto,,Diesel,Abril,2018,89 000 km,1 248 cm3,90 cv,Sim,Sim,,Utilitário,Preto,,Manual,5,5,,18 Meses,Nacional,Sim,,Usados,11 750        EUR,8089983171,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-grande-punto-ID8PuKbx.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C3,1.6 BlueHDi Feel,Diesel,Fevereiro,2018,97 000 km,1 560 cm3,75 cv,Sim,Sim,,Utilitário,Branco,,Manual,5,5,,18 Meses,Importado,Sim,,Usados,14 950        EUR,8087852259,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-6-bluehdi-feel-ID8PlNPZ.html,,,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Twingo,,Gasolina,Fevereiro,2019,47 000 km,999 cm3,70 cv,Sim,Sim,,Citadino,Preto,,Automática,5,,,18 Meses,Importado,,,Usados,13 850        EUR,8090600076,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8PxkFC.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Kangoo,,Diesel,Janeiro,2018,43 000 km,1 461 cm3,90 cv,Sim,Sim,,Carrinha,Branco,,Manual,5,3,,18 Meses,Nacional,,,Usados,13 350        EUR,8090593639,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-kangoo-ID8PxiZN.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Ibiza,1.0 Reference,Gasolina,Abril,2017,117 985 km,999 cm3,75 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,,,Sim,Usados,10 450        EUR,8090513663,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-reference-ID8PvYbR.html,5,,,,,,,Sim,12/04/2025,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForTwo Coupé,1.0 mhd Passion 71,Gasolina,Março,2013,115 000 km,999 cm3,71 cv,Sim,,Sim,Pequeno citadino,Azul,Metalizado,Automática,2,2,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,8 950        EUR,8089839449,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-mhd-passion-71-ID8Pu8Nr.html,,,97 g/km,,,,2,,19/03/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Abril,2014,175 000 km,1 461 cm3,90 cv,Sim,,,SUV / TT,Castanho,,Manual,5,5,,18 Meses,Nacional,,,Usados,12 990        EUR,8090690741,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PxIfX.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Opel,Insignia Sports Tourer,,Diesel,Agosto,2011,200 000 km,1 956 cm3,163 cv,,,,Carrinha,Branco,,Manual,5,5,,,,Sim,Sim,Usados,9 500        EUR,8090325806,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PvbjU.html,6,Tracção dianteira,,,,,,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Twingo,1.0 SCe Night&Day,Gasolina,Outubro,2016,156 000 km,999 cm3,70 cv,Sim,,,Utilitário,Preto,,Manual,5,4,,18 Meses,Nacional,,,Usados,9 990        EUR,8090690713,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-night-day-ID8PxIfw.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Janeiro,2018,106 000 km,1 248 cm3,95 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,13 900        EUR,8089237560,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PrCdy.html,,Tracção dianteira,,,,,1,,,,,,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForTwo Coupé,EQ passion,Eléctrico,Outubro,2018,27 197 km,,82 cv,,,,Pequeno citadino,Cinzento,Metalizado,Automática,2,2,Classe 1,18 Meses,Importado,Sim,Sim,Usados,12 980        EUR,8090674359,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-eq-passion-ID8PxDZJ.html,1,Tracção traseira,,,,155 km,1,Sim,,,,,,155 km,,,,,17 kWh,Própria,,,,StandVirtual,Yes,2023-10-01
Particular,Mazda,3,1.5 Sky-D Evolve,Diesel,Novembro,2016,150 000 km,1 499 cm3,105 cv,,,,Coupé,Preto,Metalizado,Manual,4,5,Classe 1,,Nacional,Sim,Sim,Usados,13 750        EUR,8089936559,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mazda-3-1-5-sky-d-evolve-ID8Puy3J.html,6,Tracção dianteira,99 g/km,"4,30 l/100km","3,50 l/100km",950 km,2,,,,,,,,,,,,,,Sim,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Abril,2017,79 006 km,1 199 cm3,82 cv,Sim,Sim,Sim,Utilitário,Azul,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,13 790        EUR,8090154056,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-shine-ID8PwsDK.html,5,,100 g/km,"5,70 l/100km","4,10 l/100km",957 km,,,13/04/2025,144 €,"4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Mercedes-Benz,Citan,109 CDi/27,Diesel,Agosto,2014,111 000 km,1 461 cm3,90 cv,,,,Carrinha,Branco,,Manual,5,2,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,10 950        EUR,8090255181,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-citan-109-cdi-27-ID8PwSVN.html,5,,119 g/km,,,,,Sim,,42 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Corsa,1.2 Business Edition,Gasolina,Fevereiro,2020,27 792 km,1 199 cm3,75 cv,,,,Citadino,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,,,Sim,Usados,14 980        EUR,8090534444,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-business-edition-ID8Px3B2.html,5,Tracção dianteira,117 g/km,"4,80 l/100km","3,70 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Março,2021,28 807 km,999 cm3,70 cv,,,,Citadino,Branco,Metalizado,Manual,3,5,Classe 1,18 Meses,,,Sim,Usados,14 780        EUR,8090534340,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8Px3zm.html,6,Tracção dianteira,106 g/km,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Junho,2016,133 313 km,1 199 cm3,82 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 490        EUR,8090641148,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8Pxwm4.html,5,Tracção dianteira,114 g/km,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,2008,1.2 VTi Allure,Gasolina,Maio,2014,92 956 km,1 199 cm3,82 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,12 890        EUR,8090580554,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-vti-allure-ID8PxfAK.html,5,Tracção dianteira,114 g/km,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Polo,1.0 Confortline,Gasolina,Fevereiro,2018,85 246 km,999 cm3,75 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 490        EUR,8090534050,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8Px3uG.html,5,Tracção dianteira,108 g/km,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Maio,2019,58 478 km,1 199 cm3,82 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,13 980        EUR,8090633250,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PxtiG.html,5,Tracção dianteira,110 g/km,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Abril,2018,98 885 km,1 248 cm3,95 cv,,Sim,Sim,Carrinha,Branco,,Manual,5,5,,24 Meses,Nacional,Sim,Sim,Usados,13 950        EUR,8089505141,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PsJPn.html,,,,,,,,Sim,,,,,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Março,2017,107 643 km,1 248 cm3,95 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,12 990        EUR,8085764970,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8Pd2Q2.html,5,Tracção dianteira,94 g/km,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited EDC,Diesel,Agosto,2017,149 000 km,1 461 cm3,110 cv,,Sim,Sim,Carrinha,Azul,,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,14 990        EUR,8090326018,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-edc-ID8Pvbnk.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Peugeot,508 RXH,2.0 HDi Hybrid4 Limited Edition 2-Tronic,Híbrido (Diesel),Maio,2013,199 000 km,1 997 cm3,200 cv,,,,Carrinha,Branco,,Automática,5,5,,,,,,Usados,13 500        EUR,8090687795,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-rxh-2-0-hdi-hybrid4-limited-edition-2-tronic-ID8PxHur.html,6,Integral,107 g/km,"4,20 l/100km",4 l/100km,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Toyota,Yaris,1.3 VVT-i Sport,Gasolina,Junho,2010,198 000 km,1 298 cm3,87 cv,,,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,6 750        EUR,8090731372,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-3-vvt-i-sport-ID8PxSPi.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Audi,TT Roadster,1.8 TFSi S-line,Gasolina,Março,2010,147 000 km,1 798 cm3,160 cv,Sim,,,Cabrio,Preto,Metalizado,Manual,2,,Classe 1,,Importado,Sim,Sim,Usados,14 950        EUR,8088710896,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-tt-roadster-1-8-tfsi-s-line-ID8PppcY.html,6,Tracção dianteira,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,MINI,Cooper,D,Diesel,Março,2015,160 997 km,1 496 cm3,116 cv,Sim,Sim,Sim,Coupé,Branco,,Manual,3,4,,18 Meses,Importado,,,Usados,14 850        EUR,8090452780,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PvIlS.html,6,Tracção dianteira,,,,,,,19/03/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Novembro,2016,72 000 km,999 cm3,71 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,4,Classe 1,18 Meses,Importado,Sim,Sim,Usados,12 950        EUR,8088148962,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8Pn31v.html,5,Tracção dianteira,,,,,,Sim,01/11/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Zafira,2.0 CDTi Cosmo S/S,Diesel,Dezembro,2012,269 900 km,1 956 cm3,165 cv,Sim,,,Carrinha,Cinzento,,Manual,5,7,,18 Meses,Nacional,,Sim,Usados,12 900        EUR,8088189552,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-zafira-2-0-cdti-cosmo-s-s-ID8PndAc.html,,,,,,,,Sim,01/12/2023,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,BMW,120,d Sport-Aut. Urban Line,Diesel,Novembro,2011,161 000 km,1 995 cm3,184 cv,,,,Utilitário,Azul,Metalizado,Automática,5,5,Classe 1,,,,,Usados,14 950        EUR,8089628637,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-120-d-sport-aut-urban-line-ID8PtfXf.html,8,Tracção traseira,,"5,20 l/100km",,,,,,,,Série 1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,SEAT,Leon,,Diesel,Dezembro,2013,168 000 km,1 598 cm3,105 cv,,,,Sedan,Cinzento,Metalizado,Manual,5,,,,,,,Usados,10 900        EUR,8090659184,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-ID8PxA2Y.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,108,1.0 e-VTi Active,Gasolina,Outubro,2019,57 796 km,998 cm3,72 cv,Sim,Sim,Sim,Citadino,Cinzento,,Manual,5,5,,18 Meses,Importado,,,Usados,11 890        EUR,8090085997,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-e-vti-active-ID8PwaV1.html,,Tracção dianteira,,,,,,,01/10/2023,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Renault,Mégane Sport Tourer,1.5 dCi Intens,Diesel,Outubro,2017,160 000 km,1 461 cm3,110 cv,,,,Carrinha,Vermelho,,Manual,5,5,,,,,,Usados,14 000        EUR,8090731339,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-intens-ID8PxSOL.html,,,95 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Hyundai,Veloster,1.6 GDi Blue Style,Gasolina,Julho,2011,95 414 km,1 591 cm3,140 cv,,,,Coupé,Vermelho,Pérola,Manual,4,4,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,13 950        EUR,8090713033,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-veloster-1-6-gdi-blue-style-ID8PxO3w.html,6,Tracção traseira,137 g/km,"7,10 l/100km","5,30 l/100km",,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Agosto,2019,55 700 km,998 cm3,72 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,5,5,,18 Meses,Nacional,,Sim,Usados,11 900        EUR,8090448540,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PvHfu.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Alfa Romeo,MiTo,1.3 JTDM Super,Diesel,Maio,2017,123 000 km,1 248 cm3,95 cv,,Sim,Sim,Utilitário,Preto,,Manual,3,5,,18 Meses,,,,Usados,12 850        EUR,8088132001,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-super-ID8PmYBX.html,,Tracção dianteira,,,,,,,01/05/2025,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Leon,1.6 TDi Ecomotive Style,Diesel,Novembro,2012,174 500 km,1 598 cm3,105 cv,Sim,Sim,Sim,Utilitário,Preto,,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,12 950        EUR,8088184198,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-ecomotive-style-ID8PncbQ.html,,,,,,,,Sim,29/11/2023,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Mitsubishi,Space Star,,Gasolina,Março,2019,47 700 km,999 cm3,71 cv,Sim,Sim,Sim,Utilitário,Cinzento,,Manual,5,5,,18 Meses,,,Sim,Usados,11 890        EUR,8088747772,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-ID8PpyNK.html,,Tracção dianteira,,,,,,Sim,27/03/2025,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Grand Scénic,1.5 dCi Luxe 7L EDC,Diesel,Agosto,2011,162 000 km,1 461 cm3,110 cv,Sim,Sim,Sim,Monovolume,Preto,Metalizado,Automática,5,7,,18 Meses,Importado,Sim,Sim,Usados,11 890        EUR,8089199105,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-luxe-7l-edc-ID8Prsdj.html,6,Tracção dianteira,,,,,,Sim,01/08/2023,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Novembro,2017,154 000 km,1 560 cm3,75 cv,,Sim,Sim,Citadino,Preto,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,12 500        EUR,8088873045,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8Pq5oh.html,5,,,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,Focus SW,1.5 TDCi Trend+,Diesel,Junho,2017,238 000 km,1 499 cm3,120 cv,Sim,Sim,Sim,Carrinha,Branco,,Manual,5,5,,18 Meses,Nacional,,Sim,Usados,11 250        EUR,8090230103,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-trend-ID8PwMqj.html,,Tracção dianteira,,,,,,,04/06/2025,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
